question,value,positive_answer,negative_answer
Do I have the power to cast spells on others?,Irrational Beliefs,I have the power to cast spells on others.,
Should I have thoughts of injuring myself?,Self-harm,I have thoughts of injuring myself.,
Should I have trouble getting interested in things?,Anhedonia,I have trouble getting interested in things.,
Should I have unpredictable emotions and moods?,Affective Lability,I have unpredictable emotions and moods.,
Should I have urges to cut myself?,Self-harm,I have urges to cut myself.,
Should I have written a suicide note?,Self-harm,I have written a suicide note.,
Should I hear voices talking about me when nobody is really there?,Unusual Experiences,I hear voices talking about me when nobody is really there.,
Should I hurt people?,Hostile Aggression,I hurt people.,
Am I known for saying offensive things?,Rudeness,I i am known for saying offensive things.,
"Should I feel as if my body, or a part of it, has disappeared?",Unusual Experiences,"I i feel as if my body, or a part of it, has disappeared.",
Should I have intentionally done myself physical harm?,Self-harm,I i have intentionally done myself physical harm.,
Should I have no will to live?,Self-harm,I i have no will to live.,
Should I insist that others do things my way?,Dominance,I insist that others do things my way.,
Should I insult people?,Rudeness,I insult people.,
Should I jump into things without thinking?,Non-Planfulness,I jump into things without thinking.,
Should I keep to myself even when I'm around other people?,Social Withdrawal,I keep to myself even when I'm around other people.,
Should I let myself be directed by others?,Submissiveness,I let myself be directed by others.,
Should I let myself be pushed around?,Submissiveness,I let myself be pushed around.,
Should I let others take advantage of me?,Submissiveness,I let others take advantage of me.,
Should I like having authority over others?,Dominance,I like having authority over others.,
Should I like to do frightening things?,Risk Taking,I like to do frightening things.,
Should I like to stand out in a crowd?,Exhibitionism,I like to stand out in a crowd.,
Should I like to start fights?,Hostile Aggression,I like to start fights.,
Should I like to trick people into doing things for me?,Manipulativeness,I like to trick people into doing things for me.,
Should I lose control over my behavior when I'm emotional?,Affective Lability,I lose control over my behavior when I'm emotional.,
Should I love dangerous situations?,Risk Taking,I love dangerous situations.,
Should I love to be the center of attention?,Exhibitionism,I love to be the center of attention.,
Should I make demands on others?,Dominance,I make demands on others.,
Do I need others to help run my life?,Submissiveness,I need others to help run my life,
Should I neglect my duties?,Irresponsibility,I neglect my duties.,
Should I often be concerned about diseases I might have?,Health Anxiety,I often am concerned about diseases I might have.,
Should I often feel like my thoughts make no sense?,Cognitive Problems,I often feel like my thoughts make no sense.,
Should I often feel overwhelmed with rage?,Anger,I often feel overwhelmed with rage.,
Should I often have disorganized thoughts?,Cognitive Problems,I often have disorganized thoughts.,
Should I often space out and lose track of what's going on?,Cognitive Problems,I often space out and lose track of what's going on.,
Should I overreact to every little thing in life?,Affective Lability,I overreact to every little thing in life.,
Should I panic easily?,Anxiety,I panic easily.,
Should I prefer that others make the major decisions in my life?,Submissiveness,I prefer that others make the major decisions in my life.,
Should I prefer to 'live in the moment' rather than plan things out?,Non-Planfulness,I prefer to 'live in the moment' rather than plan things out.,
Should I quickly lose interest in the tasks I start?,Non-Perseverance,I quickly lose interest in the tasks I start.,
Should I quit tasks as soon as I get bored?,Non-Perseverance,I quit tasks as soon as I get bored.,
Should I rarely enjoy being with people?,Social Withdrawal,I rarely enjoy being with people.,
Should I ridicule people?,Rudeness,I ridicule people.,
Should I say inappropriate things?,Rudeness,I say inappropriate things.,
Should I see little need for romance in my life?,Romantic Disinterest,I see little need for romance in my life.,
Should I see strange figures or visions when nothing is really there?,Unusual Experiences,I see strange figures or visions when nothing is really there.,
Should I set high standards for myself and others?,Perfectionism,I set high standards for myself and others.,
Should I shoot my mouth off?,Rudeness,I shoot my mouth off.,
Should I get special privileges?,Grandiosity,I should get special privileges.,
Should I sometimes find myself in a trance-like state without trying?,Fantasy Proneness,I sometimes find myself in a trance-like state without trying.,
Should I sometimes get lost in my daydreams?,Fantasy Proneness,I sometimes get lost in my daydreams.,
Should I sometimes have extremely vivid pictures in my head?,Fantasy Proneness,I sometimes have extremely vivid pictures in my head.,
Should I sometimes have fantasies that are overwhelming?,Fantasy Proneness,I sometimes have fantasies that are overwhelming.,
Should I sometimes think the TV is talking directly to me?,Unusual Experiences,I sometimes think the TV is talking directly to me.,
Should I strive in every way possible to be flawless?,Perfectionism,I strive in every way possible to be flawless.,
Should I suspect hidden motives in others?,Mistrust,I suspect hidden motives in others.,
Should I take advantage of others?,Manipulativeness,I take advantage of others.,
Should I tend to feel very hopeless?,Depression,I tend to feel very hopeless.,
Should I keep my emotions to myself?,Emotional Detachment,I think it's best to keep my emotions to myself.,
Should I treat people as inferiors?,Grandiosity,I treat people as inferiors.,
Should I use magic to ward off bad thoughts about me?,Irrational Beliefs,I use magic to ward off bad thoughts about me.,
Should I use my looks to get what I want?,Exhibitionism,I use my looks to get what I want.,
Should I usually believe that my friends will abandon me?,Relationship Insecurity,I usually believe that my friends will abandon me.,
Should I spread false rumors as a way to hurt others?,Hostile Aggression,I will spread false rumors as a way to hurt others.,
Should I work longer hours than most people?,Workaholism,I work longer hours than most people.,
Should I work so hard that my relationships suffer?,Workaholism,I work so hard that my relationships have suffered.,
Am I working too much?,Workaholism,I work too much.,
Should I worry a lot about catching a serious illness?,Health Anxiety,I worry a lot about catching a serious illness.,
Should I worry about my health?,Health Anxiety,I worry about my health.,
Should I do anything to get an adrenaline rush?,Risk Taking,I would do anything to get an adrenaline rush.,
Should I accomplish a lot of work?,Energy Level,I accomplish a lot of work.,
Should I always be busy?,Energy Level,I am always busy.,
Should I always be on the go?,Energy Level,I am always on the go.,
Should I be deeply moved by others' misfortunes?,Empathy,I am deeply moved by others' misfortunes.,
Should I be devoted to religion?,Traditional Values,I am devoted to religion.,
Should I be easily moved to tears?,Empathy,I am easily moved to tears.,
Am I good at making impromptu speeches?,Social Confidence,I am good at making impromptu speeches.,
Should I be interested in many things?,Breadth of Interest,I am interested in many things.,
Should I be interested in people?,Sociability,I am interested in people.,
Should I be open to change?,Tolerance,I am open to change.,
Should I believe in equality between all races?,Tolerance,I believe in equality between all races.,
Should I believe in one true religion?,Traditional Values,I believe in one true religion.,
Should I believe in sexual modesty?,Traditional Values,I believe in sexual modesty.,
Should I believe in the importance of art?,Complexity,I believe in the importance of art.,
Should we be tough on crime?,Traditional Values,I believe that we should be tough on crime.,
Can I manage many things at the same time?,Energy Level,I can manage many things at the same time.,
Can I talk others into doing things?,Social Astuteness,I can talk others into doing things.,
Should I conform to others' opinions?,Cooperativeness,I conform to others' opinions.,
Should I cry easily?,Empathy,I cry easily.,
Should I do a lot in my spare time?,Energy Level,I do a lot in my spare time.,
Should I do what others do?,Cooperativeness,I do what others do.,
Should I not mind being the center of attention?,Social Confidence,I don't mind being the center of attention.,
Should I enjoy bringing people together?,Sociability,I enjoy bringing people together.,
Should I enjoy discussing movies and books with others?,Complexity,I enjoy discussing movies and books with others.,
Should I enjoy examining myself and my life?,Complexity,I enjoy examining myself and my life.,
Should I experience my emotions intensely?,Empathy,I experience my emotions intensely.,
Should I feel comfortable around people?,Social Confidence,I feel comfortable around people.,
Should I feel spiritually connected to other people?,Empathy,I feel spiritally connected to other people.,
Should I find it easy to manipulate others?,Social Astuteness,I find it easy to manipulate others.,
Should I find political discussions interesting?,Breadth of Interest,I find political discussions interesting.,
Should I follow a schedule?,Organization,I follow a schedule.,
Should I get upset easily?,Anxiety,I get upset easily.,
Should I guide my life using religious scriptures?,Traditional Values,I guide my life using religious scriptures.,
Do I have a natural talent for influencing people?,Social Confidence,I have a natural talent for influencing people.,
Do I have a natural talent for influencing people?,Social Astuteness,I have a natural talent for influencing people.,
Should I have a rich vocabulary?,Complexity,I have a rich vocabulary.,
Should I have a vivid imagination?,Innovation,I have a vivid imagination.,
Should I have frequent mood swings?,Anxiety,I have frequent mood swings.,
Should I know how to get around the rules?,Risk Taking,I know how to get around the rules.,
Should I like to stand during the national anthem?,Traditional Values,I like to stand during the national anthem.,
Should I love surprise parties?,Sociability,I love surprise parties.,
Should I love to learn new things?,Breadth of Interest,I love to learn new things.,
Should I love to read challenging material?,Breadth of Interest,I love to read challenging material.,
Should I love to think up new ways of doing things?,Innovation,I love to think up new ways of doing things.,
Should I make plans and stick to them?,Organization,I make plans and stick to them.,
Should I often feel blue?,Anxiety,I often feel blue.,
Should I seek danger?,Risk Taking,I seek danger.,
Should I stay in touch with old acquaintances?,Responsibility,I stay in touch with old acquaintances.,
Should I suffer from others' sorrows?,Empathy,I suffer from others' sorrows.,
Should I tend to vote for conservative political candidates?,Traditional Values,I tend to vote for conservative political candidates.,
Should I think of others first?,Responsibility,I think of others first.,
Should I try to examine myself objectively?,Complexity,I try to examine myself objectively.,
Should I try to forgive and forget?,Tolerance,I try to forgive and forget.,
Should I understand people who think differently?,Tolerance,I understand people who think differently.,
Should I want to amount to something special in others' eyes?,Cooperativeness,I want to amount to something special in others' eyes.,
Should I want to increase my knowledge?,Breadth of Interest,I want to increase my knowledge.,
Should I worry about what people think of me?,Cooperativeness,I worry about what people think of me.,
Should I never cheat on my taxes?,Responsibility,I would never cheat on my taxes.,
Should I never take things that aren't mine?,Responsibility,I would never take things that aren't mine.,
Should I be exacting in my work?,Control,I am exacting in my work.,
Am I good at making impromptu speeches?,Assertiveness,I am good at making impromptu speeches.,
Should I avoid dangerous situations?,Harm Avoidance,I avoid dangerous situations.,
Should I believe in one true religion?,Traditionalism,I believe in one true religion.,
Should I believe that laws should be strictly enforced?,Traditionalism,I believe laws should be strictly enforced.,
Should we be tough on crime?,Traditionalism,I believe that we should be tough on crime.,
Should I cheat to get ahead?,Aggression,I cheat to get ahead.,
Should I continue until everything is perfect?,Achievement,I continue until everything is perfect.,
Should I dislike myself?,Alienation,I dislike myself.,
Should I do things by the book?,Control,I do things by the book.,
Should I do things out of revenge?,Aggression,I do things out of revenge.,
Should I enjoy being part of a group?,Social Closeness,I enjoy being part of a group.,
Should I feel attacked by others?,Alienation,I feel attacked by others.,
Should I feel lucky most of the time?,Wellbeing,I feel lucky most of the time.,
Should I feel short-changed in life?,Alienation,I feel short-changed in life.,
Should I feel that people have a hard time understanding me?,Alienation,I feel that people have a hard time understanding me.,
Should I get back at others?,Aggression,I get back at others.,
Should I get stressed out easily?,Neuroticism,I get stressed out easily.,
Should I have a lot of fun?,Wellbeing,I have a lot of fun.,
Do I have a natural talent for influencing people?,Assertiveness,I have a natural talent for influencing people.,
Should I have a sharp tongue?,Aggression,I have a sharp tongue.,
Should I have frequent mood swings?,Neuroticism,I have frequent mood swings.,
Should I hold a grudge?,Aggression,I hold a grudge.,
Should I just know that I will be a success?,Wellbeing,I just know that I will be a success.,
Should I like to plan ahead?,Control,I like to plan ahead.,
Should I like to stand during the national anthem?,Traditionalism,I like to stand during the national anthem.,
Should I love life?,Wellbeing,I love life.,
Should I love to chat?,Social Closeness,I love to chat.,
Should I love to reflect on things?,Absorption,I love to reflect on things.,
Should I make plans and stick to them?,Control,I make plans and stick to them.,
Should I panic easily?,Neuroticism,I panic easily.,
Should I pay attention to details?,Control,I pay attention to details.,
Should I radiate joy?,Wellbeing,I radiate joy.,
Should I see beauty in things that others might not notice?,Absorption,I see beauty in things that others might not notice.,
Should I tend to vote for conservative political candidates?,Traditionalism,I tend to vote for conservative political candidates.,
Should I work hard?,Achievement,I work hard.,
Do I work too much?,Achievement,I work too much.,
Should I never go hang gliding or bungee jumping?,Harm Avoidance,I would never go hang gliding or bungee jumping.,
Should I never make a high-risk investment?,Harm Avoidance,I would never make a high-risk investment.,
Should I challenge myself to achieve?,Achievement,It is important to challenge myself to achieve.,
Is it important for me to be liked by others?,Belonging,It is important to be liked by others.,
Should I think it is important to protect the environment?,Concern for the Environment,It is important to protect the environment.,
Should I be sensitive to others' needs?,Concern for Others,It is important to be sensitive to others' needs.,
Is it important to come up with new ideas?,Creativity,It is important to com up with new ideas.,
Is it important to have financial success?,Financial Prosperity,It is important to have financial success.,
Should I take care of my body?,Health and Activity,It is important to take care of my body.,
Should I downplay compliments or praise?,Humility,It is important to downplay compliments or praise.,
Should I be independent and do things I want to do?,Independence,It is important to be independent and do things I want to do.,
Should I accept my place in my family or group?,Loyalty to Family or Group,It is important to accept my place in my family or group.,
Should I have time to myself?,Privacy,It is important to have time to myself.,
Should I be reliable?,Responsibility,It is important to be reliable.,
Should I use science for progress?,Scientific Understanding,It is important to use science for progress.,
Should I believe in a higher power?,Spirituality,It is important to believe in a higher power.,
Should I improve my performance?,Achievement,It is important to improve my performance.,
Is it important for me to be accepted by others?,Belonging,It is important to be accepted by others.,
Should I take care of the environment?,Concern for the Environment,It is important to take care of the environment.,
Should I think it is important to help others?,Concern for Others,It is important to help others.,
Is it important to create new thoughts or ideas?,Creativity,It is important to create new ths or ideas.,
Should I think it is important to make money?,Financial Prosperity,It is important to make money.,
Is it important to be in good physical shape?,Health and Activity,It is important to be in good physical shape.,
Should I be quiet about my success?,Humility,It is important to be quiet about my success.,
Should I give my opinion?,Independence,It is important to give my opinion.,
Should I respect the traditions of my family or group?,Loyalty to Family or Group,It is important to respect the traditions of my family or group.,
Should I have quiet time to think?,Privacy,It is important to have quiet time to think.,
Should I be trustworthy?,Responsibility,It is important to be trustworthy.,
Should I know things about science?,Scientific Understanding,It is important to know things about science.,
Should I believe that there is something greater than ourselves?,Spirituality,It is important to believe that there is something greater than ourselves .,
Should I work hard to do better?,Achievement,It is important to work hard to do better.,
Is it important for me to feel as though I belong?,Belonging,It is important to feel as though I belong.,
Should I appreciate the beauty of nature?,Concern for the Environment,It is important to appreciat the beauty of nature.,
Should I be concerned about the rights of others?,Concern for Others,It is important to be concerned about the rights of others.,
Is it important to discover new things or ideas?,Creativity,It is important to discover new things or ideas.,
"Is it important to be wealthy, having lots of money, land, or livestock?",Financial Prosperity,"It is important to be wealthy, having lots of money, land or livestock.",
Should I think it is important to be strong or good in a sport?,Health and Activity,It is important to be strong or good in a sport.,
Should I avoid taking credit for my accomplishments?,Humility,It is important to avoid credit for my accomplishments.,
Should I have control over my time?,Independence,It is important to have control over my time.,
Should I make decisions with my family or group in mind?,Loyalty to Family or Group,It is important to make decisions with my family or group in mind.,
Should I have a private place to go?,Privacy,It is important to have a private place to go.,
Is it important to meet my obligations?,Responsibility,It is important to meet my obligations.,
Is it important to know about math?,Scientific Understanding,It is important to know about math.,
Should I live in harmony with my spiritual beliefs?,Spirituality,It is important to live in harmony with my spiritual beliefs.,
Should the main object of scientific research be the discovery of truth rather than its practical applications?,Theoretical,The main object of scientific research should be the discovery of truth rather than its practical applications.,
Should the main object of scientific research be its practical applications rather than the discovery of truth?,Economic,The main object of scientific research should be its practical applications rather than discovery of truth.,
Should I regard the Bible or the Koran as beautiful mythology and literature rather than as a spiritual revelation?,Aesthetic,"Taking the Bible or the Koran as a whole, one should regard it from the point of view of its beautiful mythology and literature style rather than as a spiritual revelation.",
Should I regard the Bible or the Koran as a spiritual revelation rather than as beautiful mythology and literature?,Religious,"Taking the Bible or the Koran as a whole, one should regard it  as a spiritual revelation rather than from the point of view of its beautiful mythology and literature style.",
Should Aristotle be judged as contributing more to the progress of the human race than Abraham Lincoln?,Theoretical,"Among Aristotle and Abraham Lincoln,Aristotle should be judged as contributing more to the progress of the human race.",
Should Abraham Lincoln be judged as contributing more to the progress of the human race than Aristotle?,Social,"Among Aristotle and Abraham Lincoln, Abraham Lincoln should be judged as contributing more to the progress of the human race.",
Should I prefer to be a banker rather than a politician if I have sufficient ability?,Economic,"When I have sufficient ability, I would prefer to be a banker ranther than a politician.",
Should I prefer to be a politician rather than a banker when I have sufficient ability?,Political,"When I have sufficient ability, I would prefer to be a politician ranther than a banker.",
"Is it justifiable for great artists, such as Beethoven, Wagner, and Byron, to be selfish and negligent of the feelings of others?",Aesthetic,"It is justifiable for great artists, such as Beethoven,Wagner and Byron to be selfish and negligent of the feelings of others.",
"Is it not at all justifiable for great artists, such as Beethoven, Wagner, and Byron to be selfish and negligent of the feelings of others?",Social,"It is not at all justifiable for great artists, such as Beethoven,Wagner and Byron to be selfish and negligent of the feelings of others.",
Will mathematics ultimately prove more important for the human race than theology?,Theoretical,"Mathematics, rather than theology, ultimately will prove more important for the human race.",
Will theology ultimately prove more important for the human race than mathematics?,Religious,"Theology , rather than mathematics, ultimately will prove more important for the human race.",
Is it more important for modern leaders to focus on accomplishing practical goals rather than encouraging followers to take a greater interest in the rights of others?,Economic,It is more important for modern leaders to bring about the accomplishment of practical goals rather than to encourage followers to take a greater interest in the rights of others.,
Is it more important for modern leaders to encourage followers to take a greater interest in the rights of others rather than to bring about the accomplishment of practical goals?,Social,It is more important for modern leaders to encourage followers to take a greater interest in the rights of others rather than to bring about the accomplishment of practical goals.,
Should I be more impressed by the color and pageantry of a gorgeous ceremony rather than by the influence and strength of the group?,Aesthetic,"When witnessing a gorgeous ceremony (ecclesiasticalor academic, induction into office, etc.), I am more impressed by the color and pageantry of the occasion itself rather than by the influence and strength of the group.",
Should I be more impressed by the influence and strength of the group rather than by the color and pageantry of a gorgeous ceremony?,Political,"When witnessing a gorgeous ceremony (ecclesiasticalor academic, induction into office, etc.), I am more impressed by the influence and strength of the group rather than by the color and pageantry of the occasion itself.",
Are high ideals and reverence more desirable character traits than unselfishness and sympathy?,Religious,High ideals and reverence are more desirable character traits rather than unselfishness and sympathy.,
Are unselfishness and sympathy more desirable character traits than high ideals and reverence?,Social,Unselfishness and sympathy are more  desirable character traits rather than high ideals and reverence.,
Should I prefer to teach poetry rather than chemistry and physics if I were a university professor with the necessary ability?,Aesthetic,"If I were a university professor and had thenecessary ability, I would prefer to teach poetry rather than chemistry and physics.",
Should I prefer to teach chemistry and physics rather than poetry if I were a university professor with the necessary ability?,Theoretical,"If I were a university professor and had thenecessary ability, I would prefer to teach chemistry and physics rather than poetry.",
Should I read news about leaders of different religions consulting on reconciliation more attentively than news about great improvements in market conditions?,Religious,"If I should see the different news itemsin my morning paper, I would read LEADERS OF DIEFERENT RELIGIONS TO CONSULT ONRECONCILIATION more attentively rather than GREAT IMPROVEMENTS IN MARKET CONDITIONS.",
Should I read GREAT IMPROVEMENTS IN MARKET CONDITIONS more attentively than LEADERS OF DIFFERENT RELIGIONS TO CONSULT ON RECONCILIATION in my morning paper?,Economic,"If I should see the different news itemsin my morning paper, I would read GREAT IMPROVEMENTS IN MARKET CONDITIONS more attentively rather than LEADERS OF DIEFERENT RELIGIONS TO CONSULT ONRECONCILIATION.",
Should I read SUPREME COURT RENDERS DECISION more attentively than NEW SCIENTIFIC THEORY ANNOUNCED in my morning paper?,Political,"If I should see the different news itemsin my morning paper, I would read SUPREME COURT RENDERS DECISION more attentively rather than NEW SCIENTIFIC THEORY ANNOUNCED.",
Should I read NEW SCIENTIFIC THEORY ANNOUNCED more attentively than SUPREME COURT RENDERS DECISION in my morning paper?,Theoretical,"If I should see the different news itemsin my morning paper, I would read NEW SCIENTIFIC THEORY ANNOUNCED more attentively rather than SUPREME COURT RENDERS DECISION.",
"Should I be more impressed by a pervading sense of reverence and worship than by the architectural features and beauty when I visit a cathedral, synagogue, or mosque?",Religious,"When I visit a cathedral, synagogue or mosque, I am more impressed by a pervading sense of reverenceand worship than by the architectural features and beauty.",
"When I visit a cathedral, synagogue, or mosque, should I be more impressed by the architectural features and beauty than by a pervading sense of reverence and worship?",Aesthetic,"When I visit a cathedral, synagogue or mosque, I am more impressed by the architectural features and beauty than by a pervading sense of reverenceand worship.",
Should I prefer to use my leisure time to develop my mastery of a favorite skill rather than to do volunteer social or public service work?,Political,"Assuming that I have sufficient leisure time,  I would prefer to use it to develop my mastery of a favorite skill rather than to do volunteer social or public service work.",
Should I prefer to use my leisure time to do volunteer social or public service work rather than to develop my mastery of a favorite skill?,Social,"Assuming that I have sufficient leisure time,  I would prefer to use it to do volunteer social or public service work rather than to develop my mastery of a favorite skill.",
Should I prefer going to the buildings with new manufactured products rather than scientific apparatus at an exposition?,Economic,"At an exposition, I chiefly like to go to the buildings where I can see new manufactured products rather than scientific (e.g, chemical) apparatus.",
Should I chiefly go to the buildings where I can see scientific apparatus rather than new manufactured products at an exposition?,Theoretical,"At an exposition, I chiefly like to go to the buildings where I can see scientific (e.g, chemical) apparatus rather than new manufactured products.",
Should I prefer to found a debating society or forum rather than a classical orchestra if nothing of the kind existed in my community?,Political,"If I had the opportunity, and if nothing of the kind existed in the community where I live, I would prefer to found a debating society or forum rather than aclassical orchestra.",
Should I prefer to found a classical orchestra rather than a debating society or forum if nothing of the kind existed in my community?,Aesthetic,"If I had the opportunity, and if nothing of the kind existed in the community where I live, I would prefer to found aclassical orchestra rather than a debating society or forum.",
Should the aim of religious institutions at the present time be to bring out altruistic and charitable tendencies rather than to encourage spiritual worship and a sense of communion with the highest?,Social,The aim of religious institutions at the present times hould be to bring out altruistic and charitable tendencies rather than to encourage spiritual worship and a sense of communion with the highest.,
Should the aim of religious institutions at the present time be to encourage spiritual worship and a sense of communion with the highest rather than to bring out altruistic and charitable tendencies?,Religious,The aim of religious institutions at the present times hould be to encourage spiritual worship and a sense of communion with the highest rather than to bring out altruistic and charitable tendencies.,
Should I prefer SCIENTIFIC AGE over ARTS AND DECORATIONS if I had some time to spend in a waiting room and there were only two magazines to choose from?,Theoretical,"If I had some time to spend in a waiting room and there were only two magazines to choose from, I would prefer SCIENTIFIC AGE rather than ARTS AND DECORATIONS.",
Should I prefer ARTS AND DECORATIONS over SCIENTIFIC AGE if I had some time to spend in a waiting room and there were only two magazines to choose from?,Aesthetic,"If I had some time to spend in a waiting room and there were only two magazines to choose from, I would prefer ARTS AND DECORATIONS rather than SCIENTIFIC AGE.",
Would I prefer to hear a series of lectures on the comparative merits of the forms of government in Britain and in the United States rather than the comparative development of the great religious faiths?,Political,I would prefer to hear a series of lectures on the comparative merits of the forms of government in Britain and in the United States rather than the comparative development of the great religious faiths.,
Should I prefer to hear a series of lectures on the comparative development of the great religious faiths rather than the comparative merits of the forms of government in Britain and in the United States?,Religious,I would prefer to hear a series of lectures on the comparative development of the great religious faiths  rather than the comparative merits of the forms of government in Britain and in the United States.,
Should I consider the more important function of education as its preparation for practical achievement and financial reward rather than its preparation for participation in community activities and aiding less fortunate persons?,Economic,I would consider the more important function of education as its preparation for practical achievement and financial reward rather than its preparation for participation in community activities and aiding less fortunate persons.,
Should I consider the more important function of education as its preparation for participation in community activities and aiding less fortunate persons rather than its preparation for practical achievement and financial reward?,Social,I would consider the more important function of education as its preparation for participation in community activities and aiding less fortunate persons rather than its preparation for practical achievement and financial reward.,
"Should I be more interested in reading accounts of the lives and works of individuals like Indira Gandhi, Theodore Roosevelt, and Winston Churchill rather than Ayn Rand, Jean-Paul Sartre, and Immanuel Kant?",Political,"I am more interested in reading accounts of the lives and works of individuals such as Indira Gandhi, Theodore Roosevelt and Winston Churchill rather than Ayn Rand, Jean-Paul Sartre, and Immanuel Kant.",
"Should I be more interested in reading accounts of the lives and works of individuals such as Ayn Rand, Jean-Paul Sartre, and Immanuel Kant rather than Indira Gandhi, Theodore Roosevelt, and Winston Churchill?",Theoretical,"I am more interested in reading accounts of the lives and works of individuals such as Ayn Rand, Jean-Paul Sartre, and Immanuel Kant rather than Indira Gandhi, Theodore Roosevelt and Winston Churchill.",
"Are our modern industrial and scientific developments signs of a greater degree of civilization than those attained by any previous society, like the Greeks?",Economic,"Our modern industrial and scientific developments are signs of a greater degree of civilization than those attained by any previous society, the Greeks, for example.",
"Are our modern industrial and scientific developments not signs of a greater degree of civilization than those attained by any previous society, like the Greeks?",Aesthetic,"Our modern industrial and scientific developments are not at all signs of a greater degree of civilization than those attained by any previous society, the Greeks, for example.",
Should I prefer to work as a counselor for employees rather than in an administrative position if salaries are equal?,Social,"If I were engaged in an industrial organization (and assuming salaries to be equal), I would prefer to work as a counselor for employees rather than in an administrative position.",
Should I prefer to work in an administrative position rather than as a counselor for employees if I were engaged in an industrial organization and salaries were equal?,Political,"If I were engaged in an industrial organization (and assuming salaries to be equal), I would prefer to work in an administrative position rather than as a counselor for employees.",
Should I choose THE STORY OF RELIGION IN AMERICA over THE STORY OF INDUSTRY IN AMERICA?,Religious,"Given the choice between two books to read, I am more likely to select THE STORY OF RELIGION IN AMERICA rather than THE STORY OF INDUSTRY IN AMERICA.",
Should I choose THE STORY OF INDUSTRY IN AMERICA over THE STORY OF RELIGION IN AMERICA?,Economic,"Given the choice between two books to read, I am more likely to select  THE STORY OF INDUSTRY IN AMERICA rather than THE STORY OF RELIGION IN AMERICA.",
Would modern society benefit more from more concern for the rights and welfare of citizens rather than greater knowledge of the fundamental laws of human behavior?,Social,Modern society would benefit more from more concern for the rights and welfare of citizens rahter than greater knowledge of the fundamental laws of human behavior.,
Would modern society benefit more from greater knowledge of the fundamental laws of human behavior rather than more concern for the rights and welfare of citizens?,Theoretical,Modern society would benefit more from greater knowledge of the fundamental laws of human behavior rahter than more concern for the rights and welfare of citizens.,
Should I prefer to influence standards of living rather than public opinion?,Economic,"Suppose I were in a position to help raise standards of living, or to mold public opinion. I woulf prefer to influence standards of living rather than public opinion.",
Should I prefer to influence public opinion rather than standards of living?,Political,"Suppose I were in a position to help raise standards of living, or to mold public opinion. I woulf prefer to influence public opinion rather than standards of living.",
Should I prefer to hear a series of popular lectures on the progress of social service work in my part of the country rather than contemporary painters?,Social,I would prefer to hear a series of popular lectures on the progress of social service work in your part of the country rather than contemporary painters.,
Should I prefer to hear a series of popular lectures on contemporary painters rather than the progress of social service work in my part of the country?,Aesthetic,I would prefer to hear a series of popular lectures on contemporary painters rather than the progress of social service work in your part of the country.,
"Should I agree that all the evidence shows the universe has evolved according to natural principles without needing to assume a first cause, cosmic purpose, or God behind it?",Theoretical,"I agree that all the evidence that has been impartially accumulated goes to show that the universe has evolved to its present state in accordance with natural principles, so that there is no necessity to assume a first cause,cosmic purpose, or God behind it.",
"Should I disagree that all the evidence shows the universe has evolved to its present state in accordance with natural principles, without needing to assume a first cause, cosmic purpose, or God behind it?",Religious,"I disagree that all the evidence that has been impartially accumulated goes to show that the universe has evolved to its present state in accordance with natural principles, so that there is no necessity to assume a first cause,cosmic purpose, or God behind it.",
Should I be more likely to read the real estate sections and the account of the stock market rather than the section on picture galleries and exhibitions in a paper like the New York Sunday Times?,Economic,"In a paper, such as the New York Sunday Times, I am more likely to read the real estate sections and the account of the stock market rather than  the section on picture galleries and exhibitions.",
Am I more likely to read the section on picture galleries and exhibitions rather than the real estate sections and the account of the stock market in a paper like the New York Sunday Times?,Aesthetic,"In a paper, such as the New York Sunday Times, I am more likely to read the section on picture galleries and exhibitions rather than the real estate sections and the account of the stock market.",
Should I consider it more important for my child to secure training in religion rather than athletics?,Religious,I would consider it more important for my child to secure training in religion rather than  athletics.,
Should I consider it more important for my child to secure training in athletics rather than religion?,Political,I would consider it more important for my child to secure training in athletics rather than religion.,
"Should a good government aim chiefly at more aid for the poor, sick, and old?",Social,"I think that a good government should aim chiefly at more aid for the poor, sick, and old.",
Should a good government aim chiefly at the development of manufacturing and trade?,Economic,I think that a good government should aim chiefly at the development of manufacturing and trade.,
Should a good government aim chiefly at introducing the highest ethical principles into its policies and diplomacy?,Religious,I think that a good government should aim chiefly at introducing highest ethical principles into its policies and diplomacy.,
Should a good government aim chiefly at establishing a position of prestige and respect among nations?,Political,I think that a good government should aim chiefly at establishing a position of prestige and respect among nations.,
Should a person who works in business all week spend Sunday educating themselves by reading serious books?,Theoretical,"In my opinion, a person who works in business all the week can best spend Sunday in educating himself/herself by reading serious books.",
Should a person who works in business all week spend Sunday trying to win at competitive sports?,Political,"In my opinion, a person who works in business all the week can best spend Sunday in trying to win at competitive sports.",
Should a person who works in business all week spend Sunday going to an orchestral concert?,Aesthetic,"In my opinion, a person who works in business all the week can best spend Sunday in going to an orchestral concert.",
Should a person who works in business all week spend Sunday hearing a really good sermon?,Religious,"In my opinion, a person who works in business all the week can best spend Sunday in hearing a really good sermon.",
Should I promote the study and participation in music and the fine arts if I could influence the educational policies of the public schools of some city?,Aesthetic,"If I could influence the educational policies of the public schools of some city, I would undertake to promote the study and participation in music and the fine arts.",
